company_name,customer_name,company_high_tech_market_segment,company_founded,company_estimated_revenue_range,company_number_of_employees,company_total_funding_amount,company_number_of_investors,company_country,company_number_of_portfolio,customer_high_tech_market_segment,customer_founded,customer_estimated_revenue_range,customer_number_of_employees,customer_total_funding_amount,customer_number_of_investors,customer_country,customer_number_of_portfolio,label
Gigoptix,BitWave,semiconductor,2001-01-01,$1M to $10M,51-100,0.0,1.0,United States,0.0,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,0
VSORA,EpiCrystals,semiconductor,2015-01-01,$1M to $10M,01-10,0.0,2.0,France,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,2.0,Finland,0.0,0
MSG Lithoglas,Netronome Systems,semiconductor,2010-12-13,$1M to $10M,11-50,0.0,1.0,Germany,0.0,semiconductor,2003-01-01,$1M to $10M,101-500,0.0,10.0,United States,0.0,0
Bantam Tools,Reduced Energy Microsystems,semiconductor,2013-01-01,$1M,11-50,0.0,6.0,United States,0.0,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,3.0,United States,0.0,0
Peraso Technologies,Oxford PV,semiconductor,2008-01-01,$1M to $10M,51-100,0.0,6.0,Canada,0.0,semiconductor,2010-01-01,$10M to $50M,51-100,0.0,10.0,United Kingdom,0.0,0
AGLOGIC,TimeLab,semiconductor,1995-02-22,$1M to $10M,11-50,0.0,2.0,China,0.0,semiconductor,2001-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
Nanotronics Imaging,Lyncean Technologies,semiconductor,2010-01-01,$1M to $10M,01-10,0.0,3.0,United States,0.0,semiconductor,2002-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,0
Mythic,GreenRay Solar,semiconductor,2012-05-01,$1M to $10M,11-50,0.0,12.0,United States,0.0,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
TRINAMIC Motion Control,SponDoolies-Tech,semiconductor,1998-09-01,$10M to $50M,11-50,0.0,1.0,Germany,0.0,semiconductor,2013-01-01,$1M,11-50,0.0,4.0,Israel,0.0,0
SiOnyx,TimeSys Corporation,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,semiconductor,1996-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,0
Jeeva Wireless,Alereon,semiconductor,2015-01-01,$1M,11-50,0.0,1.0,United States,0.0,semiconductor,2003-04-01,$10M to $50M,51-100,0.0,11.0,United States,0.0,0
GreenRay Solar,Motia,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,2000-01-01,$1M to $10M,01-10,0.0,5.0,United States,0.0,0
Ikon Semiconductor,Tehuti Networks,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,3.0,Ireland,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,2.0,Israel,0.0,0
Think Silicon S.A.,Extoll GmbH.,semiconductor,2007-06-01,$1M to $10M,11-50,0.0,2.0,Greece,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,1.0,Germany,0.0,0
ScandiNova,Surrey NanoSystems,semiconductor,2001-01-01,$1M,51-100,0.0,1.0,Sweden,0.0,semiconductor,2005-01-01,$50M to $100M,11-50,0.0,4.0,United Kingdom,0.0,0
Poly-Flow Engineering,Alereon,semiconductor,2005-01-01,$10M to $50M,101-500,0.0,4.0,United States,0.0,semiconductor,2003-04-01,$10M to $50M,51-100,0.0,11.0,United States,0.0,0
Oree Advanced Illumination Solutions,TimeSys Corporation,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,Israel,0.0,semiconductor,1996-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,0
UbiQD,Brolis Semiconductors,semiconductor,2014-02-26,$1M,11-50,0.0,1.0,United States,0.0,semiconductor,2011-08-09,$1M to $10M,11-50,0.0,1.0,Lithuania,0.0,0
Tactus Technology,Satin Technologies,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,5.0,United States,0.0,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
GreenRay Solar,Eagleyard Photonics GmbH,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,2002-01-01,$1M to $10M,11-50,0.0,1.0,Germany,0.0,0
EpiGaN,TeamLinux,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,3.0,Belgium,0.0,semiconductor,1993-01-01,$1M to $10M,01-10,0.0,1.0,United States,0.0,0
Blu Wireless,Reduced Energy Microsystems,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,11.0,United Kingdom,0.0,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,3.0,United States,0.0,0
Celeno,GCT Semiconductor,semiconductor,2005-01-01,$10M to $50M,51-100,0.0,12.0,Israel,0.0,semiconductor,1998-01-01,$10M to $50M,5001-10000,0.0,19.0,United States,0.0,0
BinaryWave,D2S,semiconductor,2010-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,semiconductor,2007-01-01,$1M,11-50,0.0,5.0,United States,0.0,0
Wave Computing,Scintera Networks,semiconductor,2010-12-12,$10M to $50M,101-500,0.0,4.0,United States,0.0,semiconductor,2001-01-01,$10M to $50M,5001-10000,0.0,6.0,United States,0.0,0
Luxcore,Particle,semiconductor,1999-01-01,$1M to $10M,51-100,0.0,2.0,United States,0.0,semiconductor,2012-11-01,$1M to $10M,101-500,0.0,19.0,United States,0.0,0
Tempow,D2S,semiconductor,2016-02-02,$1M to $10M,11-50,0.0,10.0,France,0.0,semiconductor,2007-01-01,$1M,11-50,0.0,5.0,United States,0.0,0
Open Silicon,Particle,semiconductor,2003-01-01,$10M to $50M,101-500,0.0,5.0,United States,0.0,semiconductor,2012-11-01,$1M to $10M,101-500,0.0,19.0,United States,0.0,0
CISSOID,Silicon Radar,semiconductor,2000-01-01,$1M to $10M,11-50,0.0,3.0,Belgium,0.0,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,3.0,Germany,0.0,0
Synapse,Jeeva Wireless,semiconductor,2003-01-01,$10M to $50M,501-1000,0.0,1.0,United States,0.0,semiconductor,2015-01-01,$1M,11-50,0.0,1.0,United States,0.0,0
Breadware Inc,Satin Technologies,semiconductor,2015-09-01,$1M,11-50,0.0,5.0,United States,0.0,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
XSI Semi Conductors,Cavendish Kinetics,semiconductor,2012-01-01,$10M to $50M,11-50,0.0,1.0,India,0.0,semiconductor,1994-01-01,$1M to $10M,11-50,0.0,8.0,United States,0.0,0
Open-Silicon,TriLumina Corp,semiconductor,2003-01-01,$10M to $50M,101-500,0.0,5.0,United States,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,0
Plunify,Cooledge Lighting,semiconductor,2009-11-09,$1M to $10M,11-50,0.0,3.0,Singapore,0.0,semiconductor,2009-01-01,$1M to $10M,51-100,0.0,1.0,Canada,0.0,0
Skorpios Technologies,Ascatron,semiconductor,2009-01-01,$10M to $50M,11-50,0.0,5.0,United States,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,3.0,Sweden,0.0,0
Engim,Codasip,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,2014-01-01,$1M to $10M,101-500,0.0,8.0,Germany,0.0,0
Silicon Wave,Widetronix,semiconductor,1997-01-01,$10M to $50M,101-500,0.0,21.0,United States,0.0,semiconductor,2003-01-01,$1M,01-10,0.0,3.0,United States,0.0,0
Silicon Cloud,Skorpios Technologies,semiconductor,2013-08-01,$1M to $10M,01-10,0.0,3.0,Singapore,0.0,semiconductor,2009-01-01,$10M to $50M,11-50,0.0,5.0,United States,0.0,0
Exnodes Inc.,Revasum,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,5.0,United States,0.0,semiconductor,2016-01-01,$10M to $50M,51-100,0.0,1.0,United States,0.0,0
EoPlex Technologies,Breadware Inc,semiconductor,2001-01-03,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,2015-09-01,$1M,11-50,0.0,5.0,United States,0.0,0
